country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,range,aqi_value,air_quality,date,time
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-07-20 18:00:00,19.10122,74.73339,CO,8.0,41.0,35.0,33.0,407.0,Severe,2025-07-20,18:00:00
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",2025-07-20 18:00:00,20.719516,77.000253,NH3,6.0,7.0,6.0,1.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",2025-07-20 18:00:00,20.9402359,77.7895248,SO2,4.0,6.0,5.0,2.0,6.0,Good,2025-07-20,18:00:00
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-07-20 18:00:00,20.939198,77.765701,NO2,2.0,35.0,10.0,33.0,12.0,Good,2025-07-20,18:00:00
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-07-20 18:00:00,20.939198,77.765701,NH3,1.0,3.0,1.0,2.0,0.0,Good,2025-07-20,18:00:00
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-07-20 18:00:00,20.939198,77.765701,OZONE,2.0,49.0,42.0,47.0,42.0,Good,2025-07-20,18:00:00
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2025-07-20 18:00:00,19.8389439,75.244448,SO2,17.0,20.0,18.0,3.0,22.0,Good,2025-07-20,18:00:00
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2025-07-20 18:00:00,19.8389439,75.244448,OZONE,12.0,48.0,37.0,36.0,37.0,Good,2025-07-20,18:00:00
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",2025-07-20 18:00:00,19.863756,75.321188,SO2,9.0,26.0,21.0,17.0,26.0,Good,2025-07-20,18:00:00
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",2025-07-20 18:00:00,19.16485,73.23409,SO2,5.0,23.0,14.0,18.0,18.0,Good,2025-07-20,18:00:00
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-07-20 18:00:00,19.0243902,73.0406721,PM10,37.0,61.0,49.0,24.0,49.0,Good,2025-07-20,18:00:00
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-07-20 18:00:00,19.0243902,73.0406721,CO,12.0,26.0,18.0,14.0,306.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-07-20 18:00:00,19.0243902,73.0406721,OZONE,29.0,31.0,30.0,2.0,30.0,Good,2025-07-20,18:00:00
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",2025-07-20 18:00:00,19.309073,73.057223,SO2,12.0,23.0,15.0,11.0,19.0,Good,2025-07-20,18:00:00
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",2025-07-20 18:00:00,19.9775302,79.2337086,OZONE,3.0,54.0,36.0,51.0,36.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",2025-07-20 18:00:00,18.9767,72.838,PM2.5,9.0,32.0,20.0,23.0,33.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",2025-07-20 18:00:00,19.11074,72.86084,NH3,5.0,6.0,5.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",2025-07-20 18:00:00,19.11074,72.86084,CO,6.0,18.0,12.0,12.0,228.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",2025-07-20 18:00:00,19.0364585,72.8954371,PM10,45.0,69.0,58.0,24.0,58.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",2025-07-20 18:00:00,19.0364585,72.8954371,NO2,13.0,24.0,17.0,11.0,21.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",2025-07-20 18:00:00,19.0364585,72.8954371,NH3,7.0,12.0,8.0,5.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-07-20 18:00:00,19.10078,72.87462,PM10,57.0,76.0,66.0,19.0,66.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",2025-07-20 18:00:00,18.91,72.82,NO2,22.0,23.0,22.0,1.0,28.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",2025-07-20 18:00:00,19.1653323,72.922099,SO2,1.0,9.0,4.0,8.0,5.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",2025-07-20 18:00:00,19.1653323,72.922099,OZONE,7.0,28.0,23.0,21.0,23.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",2025-07-20 18:00:00,19.0863,72.8888,PM2.5,43.0,76.0,56.0,33.0,93.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",2025-07-20 18:00:00,19.19709,72.82204,PM2.5,6.0,50.0,21.0,44.0,35.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",2025-07-20 18:00:00,19.19709,72.82204,PM10,18.0,101.0,47.0,83.0,47.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",2025-07-20 18:00:00,18.96702,72.84214,CO,17.0,32.0,24.0,15.0,341.0,Very Poor,2025-07-20,18:00:00
