CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
388.0,2.0,,22.0,50.0,50.0,
300.0,2.0,25.0,22.0,64.0,65.0,15.0
249.5,0.0,11.0,38.0,85.5,70.5,7.0
179.0,1.3333333333333333,16.333333333333332,52.666666666666664,50.333333333333336,55.0,16.0
382.0,1.0,52.0,32.0,58.0,73.0,18.0
300.0,0.0,22.0,30.0,50.0,54.0,4.0
425.0,1.0,55.0,38.0,78.0,80.0,19.0
286.0,1.0,9.0,66.0,44.0,45.0,6.0
353.0,0.0,14.0,25.5,63.0,76.0,5.0
300.0,1.0,10.0,36.0,64.0,70.0,6.0
318.0,0.0,16.0,24.0,44.0,47.0,11.0
214.0,1.0,55.0,80.0,58.0,51.0,4.0
322.0,0.0,19.0,16.0,66.5,69.0,18.0
182.5,2.0,13.0,25.5,39.5,42.0,2.0
500.0,2.0,24.0,30.0,51.0,50.0,
438.0,2.0,29.0,33.0,45.0,76.0,29.0
214.0,1.0,15.0,41.0,72.0,85.0,2.0
137.0,0.0,22.0,31.0,44.0,37.0,4.0
274.4782608695652,0.9615384615384616,22.96,15.565217391304348,53.4,50.96,16.63157894736842
271.25,1.0,21.75,16.5,82.5,90.25,12.75
450.0,1.0,16.0,34.0,73.0,76.0,6.0
248.75,0.25,13.75,22.0,60.0,59.25,5.25
384.2,1.0,31.4,16.0,60.0,49.2,11.0
297.5,0.6666666666666666,26.25,17.75,52.75,58.75,2.3333333333333335
385.85714285714283,0.0,26.75,19.625,47.666666666666664,55.55555555555556,9.5
286.0,1.0,8.0,25.0,36.0,68.0,11.0
274.5,1.5,13.0,28.0,47.5,50.5,1.5
412.0,0.5,12.5,11.5,44.0,37.5,4.0
330.0,1.0,71.0,39.0,53.0,66.0,21.0
318.0,0.0,21.0,27.0,42.0,42.0,
